	BookTitle
251	My Left Foot
252	Barchester Towers
253	East Wind: West Wind
254	Treasure Island
255	Steppenwolf
256	Goldfinger
257	Ironweed
258	Girl, Interrupted
259	Small Gods
260	Moonraker
261	Sophie's Choice
262	The White Plague
263	The Pilgrim's Progress
264	The Santaroga Barrier
265	Piers Plowman
266	Red Storm Rising
267	Lady Chatterley's Lover
268	Richard III
269	The Man Who Fell to Earth
270	The Phantom Tollbooth
271	The Hundred and One Dalmatians
272	A Philosophical Investigation
273	The Tortilla Curtain
274	Love in a Cold Climate
275	The Fountainhead
276	Contact
277	American Gods
278	Stardust
279	World on Fire: How Exporting Free Market Democracy Breeds Ethnic Hatred and Global Instability
280	The Sword in the Stone
281	Children of the Mind
282	The Silver Chalice
283	The Catcher in the Rye
284	The Name of the Rose
285	The Member of the Wedding
286	V.
287	Shogun: A Novel of Japan
288	Goodnight Moon
289	Lysistrata
290	Ecotopia
291	Life, the Universe and Everything
292	The Adventures of Tom Sawyer
293	Pebble in the Sky
294	Ender's Shadow
295	Cards on the Table
296	The Gambler
297	The Crucible
298	The Bell Jar
299	Jude the Obscure
300	Democracy in America
301	The Giver
302	Sourcery
303	It Can't Happen Here
304	The Restaurant at the End of the Universe
305	The Rebel Angels
306	Heidi
307	The Velveteen Rabbit
308	Executive Orders
309	Absalom, Absalom!
310	Brideshead Revisited
311	The Collector
312	Planet of the Apes
313	The Three Musketeers
314	The Prime of Miss Jean Brodie
315	Death in the Clouds
316	The Mysterious Affair at Styles
317	Mrs Dalloway
318	Sleeping Murder
319	Joseph Andrews
320	Travels with My Aunt
321	The Lover
322	Roadmarks
323	Lord of Light
324	The BFG
325	The Tommyknockers
326	Trainspotting
327	Laughing Gas
328	Anthem
329	We
330	Without Remorse
331	Cujo
332	Lonesome Dove
333	The British Museum Is Falling Down
334	The Turn of the Screw
335	The French Lieutenant's Woman
336	Fantastic Beasts and Where to Find Them
337	My Family and Other Animals
338	Prince Caspian
339	The Lion, the Witch and the Wardrobe
340	The Murder of Roger Ackroyd
341	The A.B.C. Murders
342	Oscar and Lucinda
343	From the Earth to the Moon
344	Forever Amber
345	Ethan of Athos
346	The Blind Assassin
347	Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life
348	Lord Edgware Dies
349	The Mirror Crack'd from Side to Side
350	The Hotel New Hampshire
351	The Bridge
352	Dhalgren
353	Harry Potter and the Prisoner of Azkaban
354	Cold Comfort Farm
355	Gravity's Rainbow
356	The Day of the Jackal
357	Harry Potter and the Goblet of Fire
358	A Tenured Professor
359	Nice Work
360	The Little Engine That Could
361	Naked Lunch
362	Pattern Recognition
363	The Chrysalids
364	Blood of Amber
365	Porno
366	It
367	The Amazing Maurice and His Educated Rodents
368	Permutation City
369	Quidditch Through the Ages
370	Strata
371	The Dark Side of the Sun
372	Bluebeard
